town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town04,43,-4,31.9,149.4,right,0.158,192.0,73.7,20.0,3.5,3,0,False,247.7,-364.2,70.3,8.73
Town04,35,-3,0.0,148.4,right,0.099,218.0,84.1,22.0,3.5,2,1,False,248.7,-367.7,70.0,8.78
Town04,35,-2,0.0,148.4,right,0.099,218.0,84.1,22.0,3.5,1,2,False,248.7,-371.2,70.0,8.78
Town04,35,-1,0.0,148.4,right,0.099,218.0,84.1,22.0,3.5,0,3,False,248.6,-374.7,70.0,8.78
Town04,41,-2,8.8,76.4,left,0.161,102.0,-76.5,500.0,3.5,1,2,False,-421.4,12.9,50.3,17.06
Town04,42,6,0.2,160.4,left,0.008,160.0,-57.2,92.0,3.5,3,0,False,160.8,-396.1,72.8,8.13
Town04,45,-3,0.6,179.8,left,0.0,120.0,-38.2,0.0,3.5,2,1,False,-511.7,241.6,77.1,7.25
Town04,45,-2,0.6,179.8,left,0.0,120.0,-38.2,0.0,3.5,1,2,False,-508.2,241.6,77.1,7.25
Town04,45,-1,0.6,179.8,left,0.0,120.0,-38.2,0.0,3.5,0,3,False,-504.7,241.6,77.1,7.25
Town04,35,3,235.9,147.6,left,0.028,216.0,-83.9,206.0,3.5,0,3,False,403.6,-230.6,69.8,8.84
Town04,35,4,235.9,147.6,left,0.028,216.0,-83.9,206.0,3.5,1,2,False,407.1,-230.6,69.8,8.84
Town04,35,3,235.9,147.6,left,0.029,192.0,-74.5,206.0,3.5,0,3,False,403.6,-230.6,69.9,8.83
Town04,35,4,235.9,147.6,left,0.029,192.0,-74.5,206.0,3.5,1,2,False,407.1,-230.6,69.9,8.83
Town04,35,5,235.9,147.6,left,0.029,192.0,-74.5,206.0,3.5,2,1,False,410.6,-230.5,69.9,8.83
Town04,46,6,60.6,199.3,right,0.03,296.0,85.1,462.0,3.5,3,0,False,-15.0,219.4,81.1,6.54
Town04,1076,2,52.7,59.9,right,0.292,266.0,254.4,326.0,3.5,0,0,True,-15.6,90.5,44.5,21.77
Town04,46,3,60.4,199.1,right,0.018,294.0,84.6,462.0,3.5,0,3,False,-4.5,219.6,81.1,6.55
Town04,1101,2,56.6,60.6,right,0.318,268.0,253.5,148.0,3.5,0,0,True,74.8,37.9,44.7,21.53
Town04,50,-4,0.0,160.2,right,0.0,158.0,56.5,0.0,3.5,3,0,False,30.4,-285.9,72.8,8.14
Town05,37,-1,143.9,101.2,left,0.166,144.0,-81.5,244.0,3.5,0,2,False,-136.9,-200.6,57.8,12.88
Town05,34,2,246.3,101.2,right,0.015,140.0,79.3,246.0,3.5,0,2,False,99.3,-193.9,57.8,12.88
Town05,34,3,246.3,101.2,right,0.015,140.0,79.3,246.0,3.5,1,1,False,99.3,-190.4,57.8,12.88
Town05,34,4,248.8,103.0,right,0.157,144.0,80.1,244.0,3.5,2,0,False,96.8,-186.9,58.3,12.66
Town05,46,-2,18.7,40.7,right,0.01,46.0,64.7,70.0,3.5,1,0,False,-90.3,-135.0,36.7,32.03
Town05,33,-1,29.2,46.6,left,0.149,58.0,-71.3,88.0,3.5,0,1,False,103.5,-42.4,39.2,27.98
Town05,30,-2,7.4,47.8,left,0.153,58.0,-69.5,10.0,3.5,1,0,False,53.2,95.5,39.8,27.26
Town05,33,1,105.8,46.7,right,0.155,58.0,71.2,10.0,3.5,0,1,False,53.5,-87.8,39.3,27.94
